Name,URL
Harry Mwanga Nkumbula International Airport,https://en.wikipedia.org/wiki/Harry_Mwanga_Nkumbula_International_Airport
Kenneth Kaunda International Airport,https://en.wikipedia.org/wiki/Kenneth_Kaunda_International_Airport
Robert Gabriel Mugabe International Airport,https://en.wikipedia.org/wiki/Robert_Gabriel_Mugabe_International_Airport
Joshua Mqabuko Nkomo International Airport,https://en.wikipedia.org/wiki/Joshua_Mqabuko_Nkomo_International_Airport
Henry E Rohlsen Airport,https://en.wikipedia.org/wiki/Henry_E._Rohlsen_Airport
Abbotsford International Airport,https://en.wikipedia.org/wiki/Abbotsford_International_Airport
Calgary International Airport,https://en.wikipedia.org/wiki/Calgary_International_Airport
Edmonton International Airport,https://en.wikipedia.org/wiki/Edmonton_International_Airport
Gander International Airport,https://en.wikipedia.org/wiki/Gander_International_Airport
Kelowna International Airport,https://en.wikipedia.org/wiki/Kelowna_International_Airport
London International Airport,https://en.wikipedia.org/wiki/London_International_Airport
Ottawa MacdonaldûCartier International Airport,https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport
Regina International Airport,https://en.wikipedia.org/wiki/Regina_International_Airport
St Johns International Airport,https://en.wikipedia.org/wiki/St._John%27s_International_Airport
Thunder Bay International Airport,https://en.wikipedia.org/wiki/Thunder_Bay_International_Airport
Toronto Pearson International Airport,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport
Vancouver International Airport,https://en.wikipedia.org/wiki/Vancouver_International_Airport
Victoria International Airport,https://en.wikipedia.org/wiki/Victoria_International_Airport
Acapulco International Airport,https://en.wikipedia.org/wiki/Acapulco_International_Airport
Chihuahua International Airport,https://en.wikipedia.org/wiki/Chihuahua_International_Airport
Canc·n International Airport,https://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport
Cozumel International Airport,https://en.wikipedia.org/wiki/Cozumel_International_Airport
Culiac International Airport,https://en.wikipedia.org/wiki/Culiac%C3%A1n_International_Airport
Durango International Airport,https://en.wikipedia.org/wiki/Durango_International_Airport
Hermosillo International Airport,https://en.wikipedia.org/wiki/Hermosillo_International_Airport
Bajo International Airport,https://en.wikipedia.org/wiki/Baj%C3%ADo_International_Airport
Puebla International Airport,https://en.wikipedia.org/wiki/Puebla_International_Airport
Oaxaca International Airport,https://en.wikipedia.org/wiki/Oaxaca_International_Airport
San Luis Potos International Airport,https://en.wikipedia.org/wiki/San_Luis_Potos%C3%AD_International_Airport
Tampico International Airport,https://en.wikipedia.org/wiki/Tampico_International_Airport
Tijuana International Airport,https://en.wikipedia.org/wiki/Tijuana_International_Airport
Toluca International Airport,https://en.wikipedia.org/wiki/Toluca_International_Airport
Torren International Airport,https://en.wikipedia.org/wiki/Torre%C3%B3n_International_Airport
Villahermosa International Airport,https://en.wikipedia.org/wiki/Villahermosa_International_Airport
Veracruz International Airport,https://en.wikipedia.org/wiki/Veracruz_International_Airport
Uruapan International Airport,https://en.wikipedia.org/wiki/Uruapan_International_Airport
Appleton International Airport,https://en.wikipedia.org/wiki/Appleton_International_Airport
Austin Bergstrom International Airport,https://en.wikipedia.org/wiki/Austin%E2%80%93Bergstrom_International_Airport
Bellingham International Airport,https://en.wikipedia.org/wiki/Bellingham_International_Airport
Bellingham International Airport,https://en.wikipedia.org/wiki/Bellingham_International_Airport
Boise Airport,https://en.wikipedia.org/wiki/Boise_Airport
Logan International Airport,https://en.wikipedia.org/wiki/Logan_International_Airport
Charleston International Airport,https://en.wikipedia.org/wiki/Charleston_International_Airport
Daniel K Inouye International Airport,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport
Bradley International Airport,https://en.wikipedia.org/wiki/Bradley_International_Airport
Harrisburg International Airport,https://en.wikipedia.org/wiki/Harrisburg_International_Airport
Gerald R Ford International Airport,https://en.wikipedia.org/wiki/Gerald_R._Ford_International_Airport
Aomori Airport,https://en.wikipedia.org/wiki/Aomori_Airport
Komatsu Airport,https://en.wikipedia.org/wiki/Komatsu_Airport
Kitakyushu Airport,https://en.wikipedia.org/wiki/Kitakyushu_Airport
Nagasaki Airport,https://en.wikipedia.org/wiki/Nagasaki_Airport
Niigata Airport,https://en.wikipedia.org/wiki/Niigata_Airport
Okayama Airport,https://en.wikipedia.org/wiki/Okayama_Airport
New Chitose Airport,https://en.wikipedia.org/wiki/New_Chitose_Airport
Datong Yungang Airport,https://en.wikipedia.org/wiki/Datong_Yungang_Airport
Guangzhou Baiyun International Airport,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport
Haikou Meilan International Airport,https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport
Heihe Aihui Airport,https://en.wikipedia.org/wiki/Heihe_Aihui_Airport
