                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.44662,                0.37473,                0.91239,                 0.7045,                0.69253,                0.68702,                0.62704,                0.45701,                 3.0185,                0.88309,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.4388,                0.37321,                0.90527,                0.80581,                0.67456,                0.71828,                0.63658,                0.47195,                 3.2012,                0.89669,              0.0004666,              0.0004666,              0.0004666
                     37,                0.45358,                0.38339,                0.91747,                0.68632,                0.76667,                0.68796,                0.62166,                0.45374,                 3.1143,                0.88097,             0.00045953,             0.00045953,             0.00045953
                     38,                0.44195,                0.36558,                0.90747,                0.68687,                  0.776,                0.73399,                0.68151,                 0.4327,                 2.5293,                0.87052,             0.00045246,             0.00045246,             0.00045246
                     39,                0.43821,                0.36433,                0.91172,                0.70055,                0.72059,                0.69539,                0.63781,                0.44665,                 2.5019,                0.87597,             0.00044539,             0.00044539,             0.00044539
                     40,                0.44611,                0.35321,                0.91495,                0.76238,                0.76817,                0.74675,                0.68303,                0.42874,                 2.9531,                0.87574,             0.00043832,             0.00043832,             0.00043832
                     41,                0.44102,                0.36514,                0.91301,                0.74494,                0.73876,                0.71263,                0.64862,                0.45884,                 2.7587,                0.88944,             0.00043126,             0.00043126,             0.00043126
                     42,                0.42783,                0.34423,                0.90449,                0.66757,                0.77264,                0.70472,                0.64319,                0.44215,                 2.6125,                0.87556,             0.00042419,             0.00042419,             0.00042419
                     43,                0.43349,                 0.3484,                0.90668,                0.79417,                0.73714,                0.72896,                0.66599,                0.42698,                 2.7657,                0.87511,             0.00041712,             0.00041712,             0.00041712
                     44,                0.43137,                0.34252,                0.90972,                0.78551,                0.71527,                0.71228,                0.65148,                0.43361,                 2.5782,                0.87184,             0.00041005,             0.00041005,             0.00041005
                     45,                0.43829,                0.35384,                0.90866,                 0.6766,                0.69789,                0.64919,                0.59496,                0.46617,                 2.1899,                0.89597,             0.00040298,             0.00040298,             0.00040298
                     46,                0.43423,                0.34253,                 0.9093,                0.72568,                0.75838,                0.73483,                0.67149,                0.45155,                 2.5416,                 0.8822,             0.00039591,             0.00039591,             0.00039591
                     47,                0.42901,                0.34438,                0.91064,                0.78315,                0.70582,                0.75402,                0.69097,                0.42261,                  2.278,                0.87209,             0.00038884,             0.00038884,             0.00038884
                     48,                0.42742,                0.33947,                0.90619,                0.74579,                0.72545,                 0.7372,                0.67663,                0.42496,                 2.4745,                0.88113,             0.00038178,             0.00038178,             0.00038178
                     49,                0.42585,                0.34027,                0.90907,                0.66819,                0.77185,                0.70956,                 0.6596,                0.41457,                 2.9344,                0.86491,             0.00037471,             0.00037471,             0.00037471
                     50,                0.43697,                0.34199,                0.90675,                0.66913,                0.71668,                0.65954,                0.60335,                0.44922,                 2.8862,                0.87348,             0.00036764,             0.00036764,             0.00036764
                     51,                0.41841,                0.32461,                0.90126,                0.72841,                0.72921,                0.75051,                0.69863,                 0.4128,                 2.2845,                0.86171,             0.00036057,             0.00036057,             0.00036057
                     52,                0.42183,                 0.3336,                0.90684,                0.76303,                0.69556,                0.70429,                0.64924,                0.42767,                 2.4862,                0.87536,              0.0003535,              0.0003535,              0.0003535
                     53,                 0.4286,                0.33125,                0.90581,                0.71583,                0.77547,                0.74806,                0.68944,                 0.4206,                 3.0643,                0.87338,             0.00034643,             0.00034643,             0.00034643
                     54,                0.42338,                0.31376,                  0.904,                0.73137,                0.75573,                0.73574,                0.68246,                0.41568,                 3.3944,                0.86192,             0.00033936,             0.00033936,             0.00033936
                     55,                0.41671,                0.32687,                0.90525,                0.73148,                0.69584,                0.73448,                0.67402,                0.42927,                 3.0996,                0.87785,              0.0003323,              0.0003323,              0.0003323
                     56,                0.40692,                0.30159,                0.89758,                 0.7553,                0.71474,                 0.7324,                0.67921,                0.41834,                 2.4901,                 0.8678,             0.00032523,             0.00032523,             0.00032523
                     57,                0.40535,                0.29456,                0.89565,                0.69989,                 0.7266,                0.67612,                0.62787,                0.42423,                 2.1892,                0.86817,             0.00031816,             0.00031816,             0.00031816
                     58,                0.41383,                0.31237,                0.90079,                0.74521,                 0.7402,                0.74857,                0.69579,                0.43394,                 2.7125,                0.86874,             0.00031109,             0.00031109,             0.00031109
                     59,                0.41436,                0.30539,                0.89931,                0.75815,                0.72328,                0.72433,                 0.6686,                0.41925,                 2.1737,                0.86165,             0.00030402,             0.00030402,             0.00030402
                     60,                0.40774,                0.30107,                 0.8988,                0.67924,                0.70237,                0.65592,                0.60729,                0.41885,                  2.833,                0.87233,             0.00029695,             0.00029695,             0.00029695
                     61,                0.39963,                 0.2994,                0.90231,                0.75335,                0.74303,                0.75249,                0.69699,                0.42757,                 2.7984,                0.86866,             0.00028988,             0.00028988,             0.00028988
                     62,                0.40626,                0.29544,                0.90085,                0.79608,                0.70996,                 0.7503,                0.69201,                0.43982,                 3.4734,                0.87729,             0.00028282,             0.00028282,             0.00028282
                     63,                0.40446,                0.29426,                0.89605,                0.73341,                0.73545,                0.73826,                0.68889,                 0.4111,                 2.7382,                0.85918,             0.00027575,             0.00027575,             0.00027575
                     64,                0.40611,                0.29314,                0.89842,                0.74411,                0.72401,                0.75021,                0.69917,                0.41783,                 2.8967,                0.86622,             0.00026868,             0.00026868,             0.00026868
                     65,                0.39399,                0.29079,                0.89087,                 0.7973,                0.71249,                0.72484,                0.67388,                0.42455,                 3.1197,                0.87017,             0.00026161,             0.00026161,             0.00026161
                     66,                0.39175,                0.28248,                0.89394,                0.80401,                0.71279,                0.76575,                0.71442,                0.42411,                 3.1812,                0.86518,             0.00025454,             0.00025454,             0.00025454
                     67,                0.40424,                0.29854,                0.89412,                0.76903,                0.71802,                0.72715,                 0.6741,                0.43252,                 3.2782,                0.87195,             0.00024747,             0.00024747,             0.00024747
                     68,                0.38296,                0.28577,                0.88837,                 0.7657,                0.71925,                 0.7526,                0.69938,                0.41686,                 2.5429,                 0.8605,              0.0002404,              0.0002404,              0.0002404
                     69,                0.39685,                0.29071,                 0.8948,                0.77575,                0.73104,                0.69409,                0.64458,                0.41608,                 2.4363,                0.85827,             0.00023334,             0.00023334,             0.00023334
                     70,                0.38445,                0.28205,                 0.8893,                0.74071,                0.75841,                0.76889,                0.71256,                0.42373,                 3.0136,                0.87046,             0.00022627,             0.00022627,             0.00022627
                     71,                0.39198,                0.27579,                0.89637,                 0.7974,                0.71531,                0.77255,                0.71435,                0.42357,                 2.7544,                 0.8616,              0.0002192,              0.0002192,              0.0002192
                     72,                0.39116,                0.27745,                0.89499,                0.84451,                0.71044,                0.74077,                0.68876,                0.42668,                 2.7469,                0.86072,             0.00021213,             0.00021213,             0.00021213
