                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.44685,                0.35003,                0.91973,                0.69784,                 0.4615,                0.53971,                0.49865,                0.44964,                 3.6374,                0.90389,             0.00047367,             0.00047367,             0.00047367
                     36,                0.44193,                0.33881,                0.91483,                0.86741,                0.51463,                0.68413,                0.63915,                0.43245,                 3.5569,                0.90113,              0.0004666,              0.0004666,              0.0004666
                     37,                0.43944,                0.33147,                0.90777,                0.74511,                0.47331,                0.73554,                0.67662,                0.48166,                 3.3892,                0.91419,             0.00045953,             0.00045953,             0.00045953
                     38,                0.43738,                0.32981,                0.91431,                0.86157,                 0.5203,                 0.6816,                0.63156,                0.44254,                 3.5565,                0.89416,             0.00045246,             0.00045246,             0.00045246
                     39,                0.43631,                0.32871,                0.91742,                0.84289,                0.52542,                0.67061,                0.62744,                0.45698,                 3.7244,                0.90315,             0.00044539,             0.00044539,             0.00044539
                     40,                0.44066,                0.33606,                0.91516,                0.85918,                0.55503,                0.73498,                0.65774,                0.46303,                 3.0512,                0.89419,             0.00043832,             0.00043832,             0.00043832
                     41,                0.43871,                0.33644,                 0.9177,                0.78105,                0.50125,                0.63616,                0.58437,                0.46998,                 3.4295,                0.90838,             0.00043126,             0.00043126,             0.00043126
                     42,                0.43245,                0.31704,                0.91621,                 0.7586,                 0.4843,                0.71527,                0.66464,                0.46111,                 3.6544,                0.90902,             0.00042419,             0.00042419,             0.00042419
                     43,                0.43383,                0.31837,                 0.9143,                0.78437,                0.47427,                0.66606,                 0.6181,                0.44719,                 3.4295,                0.89152,             0.00041712,             0.00041712,             0.00041712
                     44,                0.42328,                 0.3117,                0.90942,                0.84233,                0.53232,                0.74752,                0.69053,                0.44589,                 3.5333,                0.89279,             0.00041005,             0.00041005,             0.00041005
                     45,                 0.4281,                0.30348,                0.91161,                0.91445,                0.50059,                0.77559,                0.71905,                0.45235,                  3.356,                0.89032,             0.00040298,             0.00040298,             0.00040298
                     46,                0.42469,                0.31756,                0.91012,                0.88845,                0.49938,                0.78645,                0.72564,                0.46844,                 3.4993,                0.88973,             0.00039591,             0.00039591,             0.00039591
                     47,                0.41878,                0.32394,                0.90483,                0.94583,                0.51422,                0.74719,                0.67874,                0.46172,                 3.4857,                0.89813,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.4134,                0.29969,                0.90472,                0.83516,                0.48929,                0.76228,                0.70582,                0.46472,                 3.1176,                0.89927,             0.00038178,             0.00038178,             0.00038178
                     49,                0.40884,                 0.3028,                 0.9052,                0.82786,                0.48199,                0.67207,                0.63294,                0.46371,                 3.5335,                0.90322,             0.00037471,             0.00037471,             0.00037471
                     50,                0.41291,                0.30188,                 0.9097,                0.80315,                0.50031,                0.61991,                0.57146,                0.46777,                 4.1261,                0.94451,             0.00036764,             0.00036764,             0.00036764
                     51,                0.41572,                0.29508,                0.90778,                0.83252,                 0.5049,                0.67299,                0.62527,                 0.4503,                 3.5372,                0.90435,             0.00036057,             0.00036057,             0.00036057
                     52,                0.41501,                0.29651,                0.90854,                0.72264,                0.53011,                0.65781,                0.60995,                0.46207,                  3.355,                0.91443,              0.0003535,              0.0003535,              0.0003535
                     53,                0.41032,                0.29342,                0.90918,                0.70218,                0.51012,                0.69035,                0.64537,                0.44377,                 3.2752,                0.90233,             0.00034643,             0.00034643,             0.00034643
                     54,                0.40265,                0.27737,                 0.8981,                0.79311,                0.54568,                0.66559,                 0.6198,                0.42838,                 3.2117,                0.89407,             0.00033936,             0.00033936,             0.00033936
                     55,                0.40692,                0.28374,                0.90709,                0.80591,                0.51031,                 0.6665,                0.61518,                0.43119,                 3.4577,                0.89377,              0.0003323,              0.0003323,              0.0003323
                     56,                0.40935,                0.28637,                 0.9057,                0.81449,                 0.4968,                0.71485,                0.66664,                0.45708,                 3.8861,                0.89513,             0.00032523,             0.00032523,             0.00032523
                     57,                0.39971,                0.28229,                0.89352,                0.81466,                0.50112,                0.71964,                0.66752,                0.46735,                 3.4032,                0.88282,             0.00031816,             0.00031816,             0.00031816
                     58,                  0.405,                 0.2885,                0.89746,                 0.8222,                0.59784,                 0.7753,                0.71017,                0.46206,                 2.9878,                 0.8865,             0.00031109,             0.00031109,             0.00031109
                     59,                0.38761,                0.27155,                0.88847,                0.79976,                0.51791,                0.60015,                0.55583,                0.45628,                  3.788,                0.89806,             0.00030402,             0.00030402,             0.00030402
                     60,                0.39299,                0.27588,                0.89944,                 0.7873,                0.52273,                0.73461,                0.67949,                0.44251,                 3.2437,                0.89735,             0.00029695,             0.00029695,             0.00029695
                     61,                0.39871,                0.26942,                0.89892,                0.77449,                0.51462,                0.66265,                0.60517,                0.43533,                 4.0045,                0.89314,             0.00028988,             0.00028988,             0.00028988
                     62,                0.39291,                0.27012,                0.89526,                0.85437,                0.49237,                0.69304,                0.64405,                0.45468,                 4.0619,                0.91435,             0.00028282,             0.00028282,             0.00028282
                     63,                0.38513,                0.27248,                0.89143,                0.89369,                0.50178,                0.73248,                0.67537,                0.45109,                 3.9269,                0.92091,             0.00027575,             0.00027575,             0.00027575
                     64,                0.39105,                 0.2698,                0.89921,                0.71763,                0.50305,                0.62858,                0.58008,                0.44397,                   3.47,                0.91575,             0.00026868,             0.00026868,             0.00026868
                     65,                0.38417,                0.25997,                0.89159,                0.74849,                 0.5021,                0.59638,                0.55038,                0.45255,                 3.8276,                0.90889,             0.00026161,             0.00026161,             0.00026161
                     66,                0.37949,                 0.2571,                 0.8868,                0.86776,                0.50151,                0.70359,                0.64652,                0.43923,                 4.0382,                0.90013,             0.00025454,             0.00025454,             0.00025454
                     67,                0.38285,                0.25953,                0.89111,                0.86096,                0.48526,                0.71633,                0.67107,                0.42013,                 3.9802,                0.89656,             0.00024747,             0.00024747,             0.00024747
                     68,                0.38334,                0.26345,                0.90008,                0.81886,                0.49732,                 0.7068,                0.65189,                 0.4309,                 3.7909,                0.91426,              0.0002404,              0.0002404,              0.0002404
                     69,                0.37384,                0.25743,                0.89364,                0.78651,                 0.5033,                0.71628,                0.66391,                0.42409,                 3.7094,                0.91548,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.3804,                0.25878,                0.90206,                0.83375,                0.49586,                0.70001,                0.64924,                0.42187,                 4.0427,                0.91428,             0.00022627,             0.00022627,             0.00022627
                     71,                0.37389,                0.24794,                0.88906,                0.92184,                0.51238,                0.76251,                0.70644,                0.41244,                 3.8545,                0.89177,              0.0002192,              0.0002192,              0.0002192
                     72,                0.37187,                0.24596,                 0.8933,                0.87268,                0.51919,                0.74709,                 0.6855,                0.42918,                 3.8003,                0.90976,             0.00021213,             0.00021213,             0.00021213
                     73,                0.37897,                 0.2491,                0.89283,                0.81902,                0.51302,                0.72614,                0.67968,                0.43435,                 3.8771,                0.91293,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.3645,                0.24477,                0.88468,                0.86181,                0.51672,                0.71904,                0.66816,                0.42445,                 3.7367,                0.89313,             0.00019799,             0.00019799,             0.00019799
                     75,                0.36954,                0.24796,                0.88813,                 0.8646,                0.52767,                0.71301,                0.66505,                0.42796,                 3.4885,                0.88068,             0.00019092,             0.00019092,             0.00019092
                     76,                0.36138,                 0.2399,                0.88076,                  0.858,                0.51878,                0.69295,                0.64911,                0.43335,                 3.8949,                0.88888,             0.00018385,             0.00018385,             0.00018385
                     77,                 0.3674,                0.24206,                0.88514,                0.83614,                0.54156,                0.73549,                0.69141,                0.44429,                 3.8106,                0.89733,             0.00017679,             0.00017679,             0.00017679
                     78,                0.36226,                0.23465,                0.88618,                 0.8681,                0.50665,                0.70692,                0.65507,                 0.4492,                  3.866,                0.90669,             0.00016972,             0.00016972,             0.00016972
                     79,                0.35962,                0.23657,                 0.8852,                0.85165,                0.53632,                0.72042,                0.66571,                0.43066,                 4.0883,                0.89921,             0.00016265,             0.00016265,             0.00016265
                     80,                0.35528,                0.23209,                0.88019,                0.84059,                 0.5174,                0.67444,                 0.6292,                0.41878,                 4.1902,                0.89668,             0.00015558,             0.00015558,             0.00015558
                     81,                0.35923,                0.23158,                0.88307,                0.85691,                0.50151,                0.68787,                0.64381,                0.41732,                 4.0734,                0.89098,             0.00014851,             0.00014851,             0.00014851
                     82,                 0.3512,                0.23369,                0.88556,                0.83722,                0.49641,                0.65277,                0.60954,                0.42561,                 4.2011,                0.88957,             0.00014144,             0.00014144,             0.00014144
                     83,                0.35491,                 0.2287,                0.88279,                0.85804,                0.50629,                0.70423,                0.65525,                  0.433,                 4.0171,                0.90195,             0.00013437,             0.00013437,             0.00013437
